Title,latitude,longitude,Director,Release Year,Description,Location,Image File,Video link,subject,source,language,rights,rightsstatement
Twenty Thousand Leagues Under the Sea,25.04215099,-77.36044717,Paton,1916,"When their ship crashes near a mysterious island, Professor Aronnax and his crew encounter an astonishing underwater world created by Captain Nemo, who traveled over 20,000 leagues to look for his missing daughter. ","Nassau, the Bahamas",,https://www.youtube.com/watch?v=5V0lXJmb5w0,early cinema; adventure,,silent,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
A Man There Was,58.7430057,17.86666475,Sjostrom,1917,"A man loses his family to the British and suffers as a POW during the Napoleonic Wars. Years after the end of the war he finds his British captor in need of help. Instead of vengence he chooses forgiveness and rescues the British captain and his family.  The film was shot in the many islands of Stockholm Archipelago; in the film, the island is described only as ""uttermost and barren.""","Stockholm Archipelago, Sweden",,https://www.youtube.com/watch?v=kMEnTBbWVfQ,melodrama; golden age of Swedish silent cinema,,silent; Swedish,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
Man of the Sea,47.55823033,-3.00314806,L’Herbier,1920,L'Homme du large explores themes of forgiveness and repentance in a melodrama about a Breton fisherman. ,"Morbihan, Brittany, France",,https://archive.org/details/silent-lhomme-du-large,French impressionism; early cinema,,silent,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
Man of the Sea,47.78432083,-4.217940882,L’Herbier,1920,L'Homme du large explores themes of forgiveness and repentance in a melodrama about a Breton fisherman. ,"Finistere, Brittany, France",,https://archive.org/details/silent-lhomme-du-large,French impressionism; early cinema,,silent,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
Nanook of the North,58.45389836,-78.10439083,Flaherty,1922,"This documentary (although largely staged) follows an Inuk family (Nanook and his family) live and perform daily tasks during a winter in the Ungava Peninsula of Quebec, Canada. The film portrays them as relentless heroes, their lifestyle exotic, and their environment unforgiving. ","Inukjuak, Quebec, Canada",,https://www.youtube.com/watch?v=lkW14Lu1IBo,documentary; ethongraphy,,silent,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
Cœur Fidéle,43.29596465,5.368331646,Epstein,1923,"Cœur Fidéle is a melodrama about Marie and her tragic romance, set against the docks of Marseilles. The film features iconic techniques of photogénie, many of which involve images of water combined with the cross-dissolve.","Marseilles, France",,https://silentfilm.org/coeur-fidele/,French impressionism; photogénie; early cinema,,silent,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
La Belle Nivernaiase,47.79729047,3.575931753,Epstein,1923,"The titular canal flows from the city of Auxerre, in the Burgundy region southeast to Paris, to Decize, a city in Central France, connectig the Yonne river and the Loire river. The Canal du Nivernais is Epstein made La Belle Nivernaise in 1923, the same year he filmed Cœur fidéle. The film is an adaptation of a short story written by Alphonse Daudet and tells the story of an orphan boy growing up by the river. ","Auxerre, Bourgogne-Franche-Comté, France",https://i.imgur.com/ceAIF9s.png,,French impressionism; photogénie; early cinema,,silent,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
La Belle Nivernaiase,46.83654232,3.462329627,Epstein,1923,"The titular canal flows from the city of Auxerre, in the Burgundy region southeast to Paris, to Decize, a city in Central France, connectig the Yonne river and the Loire river. The Canal du Nivernais is Epstein made La Belle Nivernaise in 1923, the same year he filmed Cœur fidéle. The film is an adaptation of a short story written by Alphonse Daudet and tells the story of an orphan boy growing up by the river. ","Decize, Bourgogne-Franche-Comté, France",https://i.imgur.com/ceAIF9s.png,,French impressionism; photogénie; early cinema,,silent,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
Kœnigsmark,47.56000667,10.76113005,Perret,1923,"An adaptation of the 1917 novel of the same title, Kœnigsmark is a story about a schoolteacher who discovers a crime. The filmmaker insisted on creating a faithful adaptation to the original novel and therefore filming in Germany: the film was, at least partially, shot near the Neuschwanstein Castle (which can be seen in the film).","Schwangau, Germany",,https://www.cinematheque.fr/henri/film/50605-koenigsmark-leonce-perret-1923/,early cinema,,French,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
The Great White Silece,-77.84966834,166.7670212,Ponting,1924,"Photographer Herbert Ponting accompanied British explorer Captain Falcon Scott to the British Antartic Expedition (1910-1913, also called the Terra Nova expedition) to the South Pole. After showing the expedition crew sailing into the Southern Ocean and preparing to move towards the South Pole, the film ends with a sequene of the crew leaving their base, followed by title cards that explain that Scott and the explorers never returned from the Pole. ","Ross Island, Antarctica",,https://archive.org/details/silent-the-great-white-silence,early cinema; documentary,,English,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
