link,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
https://www.youtube.com/watch?v=5V0lXJmb5w0,Twenty Thousand Leagues Under the Sea,Paton,1916,"When their ship crashes near a mysterious island, Professor Aronnax and his crew encounter an astonishing underwater world created by Captain Nemo, who traveled over 20,000 leagues to look for his missing daughter. ",early cinema; adventure,"Nassau, the Bahamas",25.04215099,-77.36044717,,,,,silent,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
https://www.youtube.com/watch?v=kMEnTBbWVfQ,A Man There Was,Sjostrom,1917,"A man loses his family to the British and suffers as a POW during the Napoleonic Wars. Years after the end of the war he finds his British captor in need of help. Instead of vengence he chooses forgiveness and rescues the British captain and his family.  The film was shot in the many islands of Stockholm Archipelago; in the film, the island is described only as ""uttermost and barren.""",melodrama; golden age of Swedish silent cinema,"Stockholm Archipelago, Sweden",58.7430057,17.86666475,,,Image;MovingImage,video/mp4,silent; Swedish,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
https://archive.org/details/silent-lhomme-du-large,Man of the Sea,L’Herbier,1920,L'Homme du large explores themes of forgiveness and repentance in a melodrama about a Breton fisherman. ,French impressionism; early cinema,"Morbihan, Brittany, France",47.55823033,-3.00314806,,,Image;MovingImage,video/mp4,silent,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
https://archive.org/details/silent-lhomme-du-large,Man of the Sea,L’Herbier,1920,L'Homme du large explores themes of forgiveness and repentance in a melodrama about a Breton fisherman. ,French impressionism; early cinema,"Finistere, Brittany, France",47.78432083,-4.217940882,,,Image;MovingImage,video/mp4,silent,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
https://www.youtube.com/watch?v=lkW14Lu1IBo,Nanook of the North,Flaherty,1922,"This documentary (although largely staged) follows an Inuk family (Nanook and his family) live and perform daily tasks during a winter in the Ungava Peninsula of Quebec, Canada. The film portrays them as relentless heroes, their lifestyle exotic, and their environment unforgiving. ",documentary; ethongraphy,"Inukjuak, Quebec, Canada",58.45389836,-78.10439083,,,Image;MovingImage,video/mp4,silent,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
https://silentfilm.org/coeur-fidele/,Cœur Fidéle,Epstein,1923,"Cœur Fidéle is a melodrama about Marie and her tragic romance, set against the docks of Marseilles. The film features iconic techniques of photogénie, many of which involve images of water combined with the cross-dissolve.",French impressionism; photogénie; early cinema,"Marseilles, France",43.29596465,5.368331646,,,Image;StillImage,image/jpeg,silent,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
https://i.imgur.com/ceAIF9s.png,La Belle Nivernaiase,Epstein,1923,"The titular canal flows from the city of Auxerre, in the Burgundy region southeast to Paris, to Decize, a city in Central France, connectig the Yonne river and the Loire river. The Canal du Nivernais is Epstein made La Belle Nivernaise in 1923, the same year he filmed Cœur fidéle. The film is an adaptation of a short story written by Alphonse Daudet and tells the story of an orphan boy growing up by the river. ",French impressionism; photogénie; early cinema,"Auxerre, Bourgogne-Franche-Comté, France",47.79729047,3.575931753,,,Image;StillImage,image/jpeg,silent,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
https://i.imgur.com/ceAIF9s.png,La Belle Nivernaiase,Epstein,1923,"The titular canal flows from the city of Auxerre, in the Burgundy region southeast to Paris, to Decize, a city in Central France, connectig the Yonne river and the Loire river. The Canal du Nivernais is Epstein made La Belle Nivernaise in 1923, the same year he filmed Cœur fidéle. The film is an adaptation of a short story written by Alphonse Daudet and tells the story of an orphan boy growing up by the river. ",French impressionism; photogénie; early cinema,"Decize, Bourgogne-Franche-Comté, France",46.83654232,3.462329627,,,Image;StillImage,image/jpeg,silent,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
https://www.cinematheque.fr/henri/film/50605-koenigsmark-leonce-perret-1923/,Kœnigsmark,Perret,1923,"An adaptation of the 1917 novel of the same title, Kœnigsmark is a story about a schoolteacher who discovers a crime. The filmmaker insisted on creating a faithful adaptation to the original novel and therefore filming in Germany: the film was, at least partially, shot near the Neuschwanstein Castle (which can be seen in the film).",early cinema,"Schwangau, Germany",47.56000667,10.76113005,,,Image;MovingImage,video/mp4,French,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
https://archive.org/details/silent-the-great-white-silence,The Great White Silece,Ponting,1924,"Photographer Herbert Ponting accompanied British explorer Captain Falcon Scott to the British Antartic Expedition (1910-1913, also called the Terra Nova expedition) to the South Pole. After showing the expedition crew sailing into the Southern Ocean and preparing to move towards the South Pole, the film ends with a sequene of the crew leaving their base, followed by title cards that explain that Scott and the explorers never returned from the Pole. ",early cinema; documentary,"Ross Island, Antarctica",-77.84966834,166.7670212,,,Image;MovingImage,video/mp4,English,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
https://www.cinematheque.fr/henri/film/48377-la-glace-a-trois-faces-jean-epstein-1927/,La Glace à trois faces,Epstein,1927,"Three women are in love with one man. An early work by Epstein, the film shows the usual techinques of camera movement and superimposition by the director. The film was shot in Paris and in the town of L'Isle-Adam by the river Oise.  ",French impressionism; photogénie; early cinema,"L'Isle-Adam, Ile de France, France",49.11743677,2.212584639,,,Image;MovingImage,video/mp4,French,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
https://www.cinematheque.fr/henri/film/48361-la-chute-de-la-maison-usher-jean-epstein-1928/,La Chute de la maison Usher,Epstein,1928,"Perhaps the best known film by Epstein, La Chute de la maison Usher tells the story of Usher through his friend, an unknown narrator. The film is an adaptation of two short stories by Poe.  The film was shot in three different locations: the interior in Studios Éclair and Menchen in Épinay-sur-Seine near Paris; the exteriors in Sologne (with the river Sologne) and Vexin (a historical region in northern France).  ",French impressionism; photogénie; early cinema,"Vexin, France",48.9958879,1.888065795,,,Image;MovingImage,video/mp4,French,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
https://www.cinematheque.fr/henri/film/48361-la-chute-de-la-maison-usher-jean-epstein-1928/,La Chute de la maison Usher,Epstein,1928,"Perhaps the best known film by Epstein, La Chute de la maison Usher tells the story of Usher through his friend, an unknown narrator. The film is an adaptation of two short stories by Poe.  The film was shot in three different locations: the interior in Studios Éclair and Menchen in Épinay-sur-Seine near Paris; the exteriors in Sologne (with the river Sologne) and Vexin (a historical region in northern France).  ",French impressionism; photogénie; early cinema,"Sologne, France",46.67873042,2.697027836,,,Image;MovingImage,video/mp4,French,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
https://www.youtube.com/watch?v=fCWPQnFuvYE,Maldone,Gremillon,1928,"Maldone is a story about a man who runs away from his estate, becomes a canal worker, and finds love, only to be called back home and marry a different woman. The film notes the waterway as the Briare Canal and its Saint-Jean lock (which does not exist; most similar is Saint Joseph lock). ",French impressionism; early cinema; ,"Briare Canal, Bourgogne-Franche-Comté,, France",47.74042427,2.870665319,,,Image;MovingImage,video/mp4,French,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
